subset,prompt,comparison,test,n,k,statistic,p_value,effect_size,effect_name,mean_diff,interpretation,sig_after_bonferroni,alpha_bonferroni,ci_low,ci_high,median,scale
main_32,P0,all CVs,Friedman,32,3,35.286,0.0,0.551,Kendall's W,,large,,,,,,
main_32,P0,cv_primary − cv_hr,Wilcoxon,32,2,8.5,0.0,0.948,Rank-biserial r,1.0,large,*,0.0056,,,,
main_32,P0,cv_primary − cv_engineer,Wilcoxon,32,2,13.0,0.0,0.936,Rank-biserial r,1.344,large,*,0.0056,,,,
main_32,P0,cv_hr − cv_engineer,Wilcoxon,32,2,36.0,0.0881,0.471,Rank-biserial r,0.344,medium,,0.0056,,,,
main_32,P0,cv_primary,Descriptive mean,32,1,1.812,,,,,,,,1.5,2.094,2.0,
main_32,P0,cv_hr,Descriptive mean,32,1,0.812,,,,,,,,0.5,1.094,1.0,
main_32,P0,cv_engineer,Descriptive mean,32,1,0.469,,,,,,,,0.281,0.688,0.0,
main_32,P1,all CVs,Friedman,32,3,31.301,0.0,0.489,Kendall's W,,medium,,,,,,
main_32,P1,cv_primary − cv_hr,Wilcoxon,32,2,18.0,0.0,0.905,Rank-biserial r,1.031,large,*,0.0056,,,,
main_32,P1,cv_primary − cv_engineer,Wilcoxon,32,2,32.5,0.0,0.851,Rank-biserial r,1.281,large,*,0.0056,,,,
main_32,P1,cv_hr − cv_engineer,Wilcoxon,32,2,47.5,0.1511,0.379,Rank-biserial r,0.25,medium,,0.0056,,,,
main_32,P1,cv_primary,Descriptive mean,32,1,1.844,,,,,,,,1.5,2.156,2.0,
main_32,P1,cv_hr,Descriptive mean,32,1,0.812,,,,,,,,0.531,1.094,1.0,
main_32,P1,cv_engineer,Descriptive mean,32,1,0.562,,,,,,,,0.344,0.781,0.5,
main_32,P2,all CVs,Friedman,51,3,45.927,0.0,0.45,Kendall's W,,medium,,,,,,
main_32,P2,cv_primary − cv_hr,Wilcoxon,51,2,221.5,0.0054,0.485,Rank-biserial r,0.608,medium,*,0.0056,,,,
main_32,P2,cv_primary − cv_engineer,Wilcoxon,51,2,11.0,0.0,0.977,Rank-biserial r,1.392,large,*,0.0056,,,,
main_32,P2,cv_hr − cv_engineer,Wilcoxon,51,2,66.0,0.0,0.778,Rank-biserial r,0.784,large,*,0.0056,,,,
main_32,P2,cv_primary,Descriptive mean,51,1,1.647,,,,,,,,1.373,1.922,2.0,
main_32,P2,cv_hr,Descriptive mean,51,1,1.039,,,,,,,,0.764,1.314,1.0,
main_32,P2,cv_engineer,Descriptive mean,51,1,0.255,,,,,,,,0.137,0.373,0.0,
main_32,P2,all CVs,RM-ANOVA,51,3,41.555,0.0,0.33,partial η²,,large,,,,,,score_0-100
engineer_extra_25,P2,all CVs,Friedman,25,3,27.791,0.0,0.556,Kendall's W,,large,,,,,,
engineer_extra_25,P2,cv_primary − cv_hr,Wilcoxon,25,2,6.5,0.0027,0.857,Rank-biserial r,0.48,large,*,0.0167,,,,
engineer_extra_25,P2,cv_primary − cv_engineer,Wilcoxon,25,2,12.0,0.0079,-0.771,Rank-biserial r,-0.6,large,*,0.0167,,,,
engineer_extra_25,P2,cv_hr − cv_engineer,Wilcoxon,25,2,0.0,0.0001,-1.0,Rank-biserial r,-1.08,large,*,0.0167,,,,
engineer_extra_25,P2,cv_primary,Descriptive mean,25,1,0.56,,,,,,,,0.32,0.8,0.0,
engineer_extra_25,P2,cv_hr,Descriptive mean,25,1,0.08,,,,,,,,0.0,0.2,0.0,
engineer_extra_25,P2,cv_engineer,Descriptive mean,25,1,1.16,,,,,,,,0.88,1.48,1.0,
engineer_extra_25,P2,all CVs,RM-ANOVA,25,3,39.686,0.0,0.462,partial η²,,large,,,,,,score_0-100
