subset,score_col,comparison,test,n,k,statistic,p_value,effect_size,effect_name,mean_diff,interpretation,sig_after_bonferroni,alpha_bonferroni,ci_low,ci_high,median
main_32,holistic_score,all CVs,Friedman,32,3,28.02,0.0,0.438,Kendall's W,,medium,,,,,
main_32,holistic_score,cv_primary − cv_hr,Wilcoxon,32,2,19.5,0.0001,0.88,Rank-biserial r,1.031,large,*,0.0083,,,
main_32,holistic_score,cv_primary − cv_engineer,Wilcoxon,32,2,25.5,0.0,0.874,Rank-biserial r,1.281,large,*,0.0083,,,
main_32,holistic_score,cv_hr − cv_engineer,Wilcoxon,32,2,79.0,0.3178,0.248,Rank-biserial r,0.25,small,,0.0083,,,
main_32,holistic_score,cv_primary,Descriptive mean,32,1,1.969,,,,,,,,1.625,2.281,2.0
main_32,holistic_score,cv_hr,Descriptive mean,32,1,0.938,,,,,,,,0.594,1.281,1.0
main_32,holistic_score,cv_engineer,Descriptive mean,32,1,0.688,,,,,,,,0.469,0.906,1.0
main_32,fit_score_100,all CVs,Friedman,32,3,20.906,0.0,0.327,Kendall's W,,medium,,,,,
main_32,fit_score_100,cv_primary − cv_hr,Wilcoxon,32,2,12.0,0.0001,0.92,Rank-biserial r,29.019,large,*,0.0083,,,
main_32,fit_score_100,cv_primary − cv_engineer,Wilcoxon,32,2,41.5,0.0001,0.822,Rank-biserial r,35.791,large,*,0.0083,,,
main_32,fit_score_100,cv_hr − cv_engineer,Wilcoxon,32,2,97.5,0.3442,0.229,Rank-biserial r,6.772,small,,0.0083,,,
main_32,fit_score_100,all CVs,RM-ANOVA,32,3,20.542,0.0,0.315,partial η²,,large,,,,,
main_32,fit_score_100,cv_primary,Descriptive mean,32,1,56.538,,,,,,,,47.217,65.2,56.2
main_32,fit_score_100,cv_hr,Descriptive mean,32,1,27.519,,,,,,,,19.393,36.038,19.0
main_32,fit_score_100,cv_engineer,Descriptive mean,32,1,20.747,,,,,,,,15.281,26.271,19.0
engineer_extra_25,holistic_score,all CVs,Friedman,25,3,35.224,0.0,0.704,Kendall's W,,large,,,,,
engineer_extra_25,holistic_score,cv_primary − cv_hr,Wilcoxon,25,2,0.0,0.0,1.0,Rank-biserial r,1.0,large,*,0.0083,,,
