cv_id,anchor_jd,anchor_role,skills_block,experience_block,education_block,fit_score
cv_primary,max_cv_primary,max,0.4785,0.715,0.5968,0.5613
cv_primary,max_cv_hr,off_domain_max,0.2977,0.361,0.2111,0.308
cv_primary,max_cv_engineer,off_domain_max,0.2757,0.3808,0.3283,0.3125
cv_primary,min_space_nurse,min,0.2232,0.2866,0.2296,0.2429
cv_hr,max_cv_primary,off_domain_max,0.3811,0.3933,0.3872,0.3853
cv_hr,max_cv_hr,max,0.6384,0.733,0.6274,0.6657
cv_hr,max_cv_engineer,off_domain_max,0.3658,0.4882,0.427,0.4086
cv_hr,min_space_nurse,min,0.2462,0.31,0.208,0.2615
cv_engineer,max_cv_primary,off_domain_max,0.3546,0.3814,0.368,0.364
cv_engineer,max_cv_hr,off_domain_max,0.3586,0.4527,0.2762,0.3786
cv_engineer,max_cv_engineer,max,0.5531,0.7895,0.6713,0.6358
cv_engineer,min_space_nurse,min,0.2489,0.2548,0.1316,0.2389
