cv_id,jd_id,jd_pool,n_cv,n_jd,n_cv_skills,n_cv_experience,n_cv_education,n_cv_mixed,n_jd_skills,n_jd_experience,n_jd_education,n_jd_mixed,skills_block,experience_block,education_block,edu_required,edu_fallback_used
cv_engineer, Product_Growth_Analyst_wiris,main,49,19,9,36,2,2,9,8,1,1,0.4061,0.3693,0.3649,True,False
cv_engineer,AI_Video_Editor_PARTNERS,main,49,9,9,36,2,2,4,3,1,1,0.3221,0.3045,0.2158,True,False
cv_engineer,Accenture_Talent_Transformation_Manager,main,49,27,9,36,2,2,5,7,0,15,0.3904,0.4339,0.4122,False,True
cv_engineer,Applied_AI_Engineer_Impress,main,49,16,9,36,2,2,9,1,0,6,0.3667,0.4357,0.4012,False,True
cv_engineer,Arrive_People_Analytics_Lead,main,49,20,9,36,2,2,8,2,1,9,0.3718,0.3322,0.1473,True,False
cv_engineer,Atlantica Sustainable Infrastructure_Talent_Culture Analyst,main,49,22,9,36,2,2,9,2,1,10,0.377,0.4477,0.2672,True,False
cv_engineer,Bobcatemea_HR_Data_Analyst,hr_extra,49,14,9,36,2,2,5,7,0,2,0.366,0.3727,0.3693,False,True
cv_engineer,Canonical_talent_scientst,main,49,24,9,36,2,2,8,7,5,4,0.3097,0.3987,0.2479,True,False
cv_engineer,Customer_success_specialist_CareWise,main,49,18,9,36,2,2,11,7,0,0,0.399,0.4313,0.4152,False,True
cv_engineer,Dandelion_Civilization_Psychometric Modeling_Analyst,main,49,28,9,36,2,2,16,3,1,8,0.3494,0.3873,0.3093,True,False
cv_engineer,DataAnnotation_Quantitative_Psychologist_AI_Trainer,main,49,14,9,36,2,2,3,1,4,6,0.3262,0.387,0.168,True,False
cv_engineer,Data_Architect_Hanna_Robulets_Company,main,49,15,9,36,2,2,8,5,0,2,0.3959,0.4709,0.4334,False,True
cv_engineer,Digital_Learning_Applications_Schneider_Electric,main,49,32,9,36,2,2,4,1,1,26,0.3933,0.4103,0.334,True,False
cv_engineer,FareHarbor_People_Data_Analyst,hr_extra,49,21,9,36,2,2,9,4,1,7,0.3619,0.362,0.3705,True,False
